,Comment
0,Note - Don’t create test PRs or issues on official repositories of projects as it is unprofessional. Try to test all the things in your own repo.<br><br>Ek aur Complete Tutorial ❤  &amp;<br>on this channel (Apna College YouTube) we have also taught tutorials of 👇 :<br><br>- Complete SQL Course<br>- C Language Course<br>- Java DSA Course<br>- C++ DSA Course<br>- Python Tutorial<br>- Java Tutorial<br>- HTML &amp; CSS in One Shot<br>- ReactJS<br>- Object Orientation with Java<br><br>Tabtak ke liye keep learning &amp; keep coding!
1,Didi please gerrit and zuul CI chain bhi ek video bana do
2,Thank you for explaining in easy way
3,"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=3933"">1:05:33</a>"
4,Thank You ma&#39;am
5,Please stop ruining the Indian dev community
6,Thank you so much❤❤<br>Very helpful video ☺️👍
7,Please report this video. She needs to understand that pinning a comment is not helping the situation. It&#39;s tarnishing the image of the country and it seems that she couldn&#39;t care less.
8,"Those who is a beginner and want to learn Git commands with this video, please stop right away and thank me for saving your life and time"
9,Thank you.... Bacche bevkoof h toh teacher jaan thodi denge ...
10,best video about git and github
11,what is this happening i mean why people are mad is there something wrong in this video?
12,Per main toh single hu
13,TYSM &lt;3
14,thank you so much di for everything you did for us
15,"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=4421"">1:13:41</a> So that&#39;s where the problem started 😂😂😂😂"
16,A very helpful one. Thank you!
17,"Get-ChildItem : Parameter cannot be processed because the parameter name &#39;a&#39; is ambiguous. Possible matches include: -Attributes -Directory -File -Hidden -ReadOnly <br>-System.<br>At line:1 char:4<br>+ ls -a<br>+    ~~<br>    + CategoryInfo          : InvalidArgument: (:) [Get-ChildItem], ParameterBindingException<br>    + FullyQualifiedErrorId : AmbiguousParameter,Microsoft.PowerShell.Commands.GetChildItemCommand<br><br>what is this error ??"
18,downvoted and reported this videos just because the tutor is ignoring the problem she has created within the opensource community.
19,THANK YOU SO MUCH
20,Superb content. To the point. In detail explanation.
21,Why is this video not yet taken down ?
22,Superb way of teaching.. Big Thanks
23,pta nhi kyu lekin inka pdaya hua kuch bhi samajh nhi ata
24,"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=1309"">21:49</a>"
25,in dealing with english ( - ) its hyphen not minus
26,git clone pe username and password maangta hy is ka koi solution bata den
