Comment,Author,Published At,Published Year
Note - Don’t create test PRs or issues on official repositories of projects as it is unprofessional. Try to test all the things in your own repo.<br><br>Ek aur Complete Tutorial ❤  &amp;<br>on this channel (Apna College YouTube) we have also taught tutorials of 👇 :<br><br>- Complete SQL Course<br>- C Language Course<br>- Java DSA Course<br>- C++ DSA Course<br>- Python Tutorial<br>- Java Tutorial<br>- HTML &amp; CSS in One Shot<br>- ReactJS<br>- Object Orientation with Java<br><br>Tabtak ke liye keep learning &amp; keep coding!,@ApnaCollegeOfficial,2023-08-24T16:57:47Z,2023
Didi please gerrit and zuul CI chain bhi ek video bana do,@Glimpse-of-Pardes,2024-03-08T10:58:34Z,2024
Thank you for explaining in easy way,@subhashchandar5347,2024-03-08T07:36:42Z,2024
"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=3933"">1:05:33</a>",@user-vj4re2ft7q,2024-03-07T17:20:33Z,2024
Thank You ma&#39;am,@amitmehta4283,2024-03-07T15:06:01Z,2024
Please stop ruining the Indian dev community,@Uttkarsh_8,2024-03-07T04:40:22Z,2024
Thank you so much❤❤<br>Very helpful video ☺️👍,@selfsufficient1987,2024-03-06T11:10:43Z,2024
Please report this video. She needs to understand that pinning a comment is not helping the situation. It&#39;s tarnishing the image of the country and it seems that she couldn&#39;t care less.,@arulmanivenkatesh8843,2024-03-06T10:27:29Z,2024
"Those who is a beginner and want to learn Git commands with this video, please stop right away and thank me for saving your life and time",@naushadturja6547,2024-03-06T00:18:54Z,2024
Thank you.... Bacche bevkoof h toh teacher jaan thodi denge ...,@vaishalipandey002,2024-03-05T19:12:29Z,2024
best video about git and github,@kunalkoyande1963,2024-03-05T18:58:47Z,2024
what is this happening i mean why people are mad is there something wrong in this video?,@talhaanwar1005,2024-03-05T17:03:44Z,2024
Per main toh single hu,@itsvipulnegi,2024-03-04T14:51:57Z,2024
TYSM &lt;3,@faizan5738,2024-03-04T07:28:58Z,2024
thank you so much di for everything you did for us,@sudhanshuranjan7666,2024-03-03T18:18:32Z,2024
"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=4421"">1:13:41</a> So that&#39;s where the problem started 😂😂😂😂",@subhadip6288,2024-03-03T16:10:03Z,2024
A very helpful one. Thank you!,@roshanpatro5777,2024-03-03T12:08:06Z,2024
"Get-ChildItem : Parameter cannot be processed because the parameter name &#39;a&#39; is ambiguous. Possible matches include: -Attributes -Directory -File -Hidden -ReadOnly <br>-System.<br>At line:1 char:4<br>+ ls -a<br>+    ~~<br>    + CategoryInfo          : InvalidArgument: (:) [Get-ChildItem], ParameterBindingException<br>    + FullyQualifiedErrorId : AmbiguousParameter,Microsoft.PowerShell.Commands.GetChildItemCommand<br><br>what is this error ??",@user-wm3qr9pw2d,2024-03-03T11:43:39Z,2024
downvoted and reported this videos just because the tutor is ignoring the problem she has created within the opensource community.,@KamalSharma-hz8ri,2024-03-02T20:41:06Z,2024
THANK YOU SO MUCH,@abdulazeemhr5783,2024-03-02T14:04:49Z,2024
Superb content. To the point. In detail explanation.,@ajaygoud1785,2024-03-02T13:32:48Z,2024
Why is this video not yet taken down ?,@seshannandan,2024-03-02T12:23:42Z,2024
Superb way of teaching.. Big Thanks,@MohammadUsmanNasir,2024-03-02T11:11:41Z,2024
pta nhi kyu lekin inka pdaya hua kuch bhi samajh nhi ata,@mdsajid9661,2024-03-02T11:09:04Z,2024
"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=1309"">21:49</a>",@yashgupta5017,2024-03-02T08:39:07Z,2024
in dealing with english ( - ) its hyphen not minus,@NonToxic404,2024-03-01T14:08:35Z,2024
